policy_number,previous_policy_number,policy_renewal_indicator,portability_indicator,policy_status,policy_issuance_type,policy_classification,group_policy_classification,policy_issue_date,policy_start_date,policy_end_date,cancellation_termination_date,agent_id,sales_manager_id,member_id1,member_id2,member_id3,member_id4,member_id5,sum_insured,total_policy_premium,premium_installment_type,premium_paid_till_date,policy_porting_date,policy_inclusion_date,policy_inclusion_ind,number_of_insured,minimum_possible_si,susp_policy_ind,proposer_mobile_no,policy_procurement_area,previous_sum_insured,policy_renewal_date,prev_policy_expiry_date,intermediary_type,first_policy_number,product_uin,plan_name,product_cd
POL-11797,,N,N,IF,U,I,,2024-08-08,2024-08-13,2025-08-12,,AG1037,SM1047,MEMBER-006324,MEMBER-004705,MEMBER-003640,,,289085.95,22113.52,Y,22113.52,,,No,3,226767.02,No,9141390526,Rural,,,,IND,POL-11797,UIN-322,Plan C,IND_HEALTH
POL-12210,,N,N,IF,S,I,,2024-08-11,2024-08-16,2025-08-15,,AG1119,SM1035,MEMBER-004996,MEMBER-004663,MEMBER-004332,MEMBER-000433,,2311896.06,151677.86,Q,151677.86,,,No,4,1458841.7,No,9378579937,Urban,,,,IND,POL-12210,UIN-565,Plan B,FAMILY_HEALTH_OPTIMA
POL-11697,POL-18503,Y,N,IF,S,I,,2024-08-11,2024-08-12,2025-08-11,,AG1092,SM1016,MEMBER-004626,MEMBER-002568,,,,1430156.32,135451.44,M,135451.44,,,No,2,1020459.75,No,9809473770,Urban,1331027.66,2024-08-12,2024-08-11,IND,POL-18503,UIN-684,Plan B,PERSONAL_ACCIDENT
POL-10420,POL-11685,N,Y,CP,S,I,,2024-08-06,2024-08-08,2025-08-07,2024-11-08,AG1061,SM1005,MEMBER-002189,MEMBER-004642,MEMBER-002897,MEMBER-006271,MEMBER-000254,2172261.52,178696.43,Y,178696.43,2024-08-08,2025-02-14,Yes,5,1656521.32,No,9909998047,Rural,1940009.02,,2024-08-07,IND,POL-11685,UIN-543,Plan A,GROUP_HEALTH
POL-16525,,N,N,IF,S,I,,2024-08-01,2024-08-02,2025-08-01,,AG1017,SM1027,MEMBER-002276,MEMBER-004020,MEMBER-002202,,,588672.17,38404.4,Y,38404.4,,2024-08-24,Yes,3,385439.81,No,9703313815,Urban,,,,IND,POL-16525,UIN-558,Plan C,FAMILY_HEALTH_OPTIMA
POL-14436,POL-15943,N,Y,IF,S,I,,2024-08-06,2024-08-08,2025-08-07,,AG1130,SM1039,MEMBER-005409,MEMBER-000870,,,,2084919.72,98111.91,Q,73583.93,2024-08-08,,No,2,1500852.28,No,9839510003,Rural,1796847.61,,2024-08-07,IOC,POL-15943,UIN-795,Plan C,IND_HEALTH
POL-18758,,N,N,IF,S,I,,2024-08-03,2024-08-07,2025-08-06,,AG1036,SM1013,MEMBER-005137,MEMBER-000519,MEMBER-003522,MEMBER-000037,MEMBER-002369,2403470.88,158917.92,Y,158917.92,,,No,5,1535435.55,No,9925919547,Rural,,,,IND,POL-18758,UIN-901,Plan C,IND_HEALTH
POL-17946,,N,N,IF,S,I,,2024-08-10,2024-08-13,2025-08-12,,AG1117,SM1030,MEMBER-004092,,,,,980798.57,11606.74,Y,11606.74,,2024-09-03,Yes,1,676956.98,No,9414769603,Urban,,,,IND,POL-17946,UIN-181,Plan B,GROUP_HEALTH
POL-15815,,N,N,IF,S,I,,2024-08-04,2024-08-06,2025-08-05,,AG1103,SM1035,MEMBER-004231,,,,,1261743.84,111512.85,Y,111512.85,,2025-04-01,Yes,1,660105.25,No,9827910254,Urban,,,,IND,POL-15815,UIN-362,Plan C,CRITICAL_ILLNESS
POL-13238,,N,N,IF,S,I,,2024-08-01,2024-08-01,2025-07-31,,AG1088,SM1024,MEMBER-005362,MEMBER-006447,MEMBER-006024,,,155929.96,8274.16,Y,8274.16,,,No,3,123211.38,No,9355589688,Urban,,,,IND,POL-13238,UIN-615,Plan C,CRITICAL_ILLNESS
POL-11873,,N,N,IF,U,I,,2024-08-01,2024-08-02,2025-08-01,,AG1026,SM1008,MEMBER-004937,MEMBER-002962,MEMBER-006375,MEMBER-003521,MEMBER-004402,1341856.01,123102.04,Q,92326.53,,2025-01-17,Yes,5,1052533.3,No,9738070636,Rural,,,,ORG,POL-11873,UIN-316,Plan C,FAMILY_HEALTH_OPTIMA
POL-10925,POL-16382,Y,N,IF,S,I,,2024-08-08,2024-08-11,2025-08-10,,AG1082,SM1014,MEMBER-001921,MEMBER-003979,MEMBER-001523,MEMBER-005803,,293061.8,19047.75,H,19047.75,,,No,4,202701.45,No,9826669905,Urban,268489.08,2024-08-11,2024-08-10,IND,POL-16382,UIN-796,Plan B,FAMILY_HEALTH_OPTIMA
POL-17674,,N,N,IF,S,I,,2024-08-08,2024-08-12,2025-08-11,,AG1023,SM1028,MEMBER-003320,MEMBER-000486,MEMBER-005002,MEMBER-001598,MEMBER-002188,2026149.58,141222.62,Y,141222.62,,,No,5,1157201.0,No,9796038905,Rural,,,,IND,POL-17674,UIN-896,Plan C,IND_HEALTH
POL-11290,,N,N,IF,S,I,,2024-08-03,2024-08-07,2025-08-06,,AG1038,SM1031,MEMBER-001467,MEMBER-002828,MEMBER-004493,MEMBER-002906,,1910469.7,149034.7,M,124195.58,,,No,4,1097796.58,No,9589327281,Urban,,,,IOC,POL-11290,UIN-260,Plan A,TERM_LIFE
POL-19049,,N,N,IF,S,I,,2024-08-02,2024-08-05,2025-08-04,,AG1043,SM1012,MEMBER-003208,MEMBER-001323,MEMBER-001736,MEMBER-001986,,892574.81,35388.56,M,14745.23,,,No,4,593316.11,No,9463759050,Urban,,,,IND,POL-19049,UIN-112,Plan C,GROUP_HEALTH
POL-10467,,N,N,IF,S,G,N,2024-08-01,2024-08-03,2025-08-02,,AG1062,SM1019,MEMBER-001143,MEMBER-006738,MEMBER-004969,MEMBER-003340,,3710449.67,330386.1,H,330386.1,,,No,4,2783266.34,No,9690421611,Urban,,,,IND,POL-10467,UIN-134,Plan B,FAMILY_HEALTH_OPTIMA
POL-11337,,N,N,IF,U,I,,2024-08-02,2024-08-06,2025-08-05,,AG1007,SM1046,MEMBER-001460,MEMBER-005234,MEMBER-003326,,,2205910.23,90433.55,H,45216.78,,,No,3,1191125.06,No,9470444941,Urban,,,,IND,POL-11337,UIN-181,Plan C,CRITICAL_ILLNESS
POL-11419,,N,N,IF,U,I,,2024-08-05,2024-08-10,2025-08-09,,AG1063,SM1006,MEMBER-005427,MEMBER-004166,MEMBER-003676,,,2189989.21,68302.74,Y,68302.74,,,No,3,1272345.22,No,9455194878,Rural,,,,IND,POL-11419,UIN-364,Plan A,CRITICAL_ILLNESS
POL-10559,,N,N,TM,S,I,,2024-08-10,2024-08-11,2025-08-10,2025-07-04,AG1146,SM1034,MEMBER-005253,MEMBER-005861,MEMBER-000090,,,1496576.24,142693.43,Y,142693.43,,,No,3,768239.67,No,9686277747,Rural,,,,ORG,POL-10559,UIN-242,Plan C,TERM_LIFE
POL-19337,POL-14546,N,Y,IF,S,I,,2024-08-01,2024-08-06,2025-08-05,,AG1054,SM1044,MEMBER-003438,MEMBER-002669,MEMBER-004165,MEMBER-006021,,300229.19,16490.0,Y,16490.0,2024-08-06,,No,4,179686.94,No,9315741234,Urban,351349.23,,2024-08-05,IND,POL-14546,UIN-361,Plan A,TERM_LIFE
POL-14559,,N,N,IF,S,I,,2024-08-12,2024-08-15,2025-08-14,,AG1145,SM1009,MEMBER-001538,,,,,1640577.77,52336.72,H,52336.72,,,No,1,1289016.73,No,9808013123,Rural,,,,IND,POL-14559,UIN-924,Plan A,PERSONAL_ACCIDENT
POL-13662,,N,N,XP,U,G,E,2024-08-12,2024-08-13,2025-08-12,,AG1019,SM1026,MEMBER-005658,,,,,4810352.24,236898.48,Y,236898.48,,,No,1,3481470.81,No,9466336318,Urban,,,,IND,POL-13662,UIN-454,Plan B,PERSONAL_ACCIDENT
POL-13547,POL-18673,N,Y,IF,S,G,E,2024-08-06,2024-08-11,2025-08-10,,AG1027,SM1042,MEMBER-003803,MEMBER-001939,MEMBER-001559,MEMBER-004278,MEMBER-006482,5785219.8,408673.57,Q,306505.18,2024-08-11,,No,5,3856382.78,No,9685402410,Urban,5171587.15,,2024-08-10,IND,POL-18673,UIN-471,Plan A,PERSONAL_ACCIDENT
POL-17930,,N,N,IF,U,I,,2024-08-03,2024-08-03,2025-08-02,,AG1094,SM1016,MEMBER-003120,MEMBER-003367,MEMBER-004985,MEMBER-001821,MEMBER-004425,112412.75,7685.9,H,7685.9,,,No,5,60938.0,No,9474745383,Urban,,,,IND,POL-17930,UIN-831,Plan A,IND_HEALTH
POL-19734,,N,N,IF,U,I,,2024-08-04,2024-08-06,2025-08-05,,AG1067,SM1019,MEMBER-004295,MEMBER-003853,MEMBER-001399,MEMBER-005854,,1101225.96,71903.9,Y,71903.9,,2025-07-08,Yes,4,583406.83,No,9067216562,Urban,,,,IND,POL-19734,UIN-588,Plan C,FAMILY_HEALTH_OPTIMA
POL-14519,,N,N,TM,U,I,,2024-08-04,2024-08-05,2025-08-04,2024-10-14,AG1000,SM1019,MEMBER-005108,,,,,897940.76,51824.44,Q,12956.11,,,No,1,670203.32,No,9527198218,Rural,,,,IND,POL-14519,UIN-983,Plan C,PERSONAL_ACCIDENT
POL-13997,POL-15835,Y,N,XP,S,I,,2024-08-05,2024-08-10,2025-08-09,,AG1020,SM1031,MEMBER-000765,MEMBER-003072,MEMBER-001034,,,1264823.99,53624.81,Y,53624.81,,,No,3,905837.29,No,9501928050,Urban,1500580.92,2024-08-10,2024-08-09,IND,POL-15835,UIN-483,Plan B,CRITICAL_ILLNESS
POL-13471,POL-16353,N,Y,IF,U,I,,2024-08-06,2024-08-11,2025-08-10,,AG1010,SM1046,MEMBER-002117,MEMBER-004791,MEMBER-006478,MEMBER-005297,,1375646.0,96065.29,Y,96065.29,2024-08-11,2025-06-01,Yes,4,909696.2,No,9103401123,Rural,1613889.5,,2024-08-10,IOC,POL-16353,UIN-929,Plan B,PERSONAL_ACCIDENT
POL-13013,,N,N,IF,S,I,,2024-08-05,2024-08-10,2025-08-09,,AG1110,SM1007,MEMBER-002681,MEMBER-003939,MEMBER-003127,MEMBER-003426,MEMBER-002650,1668677.84,107939.77,Y,107939.77,,,No,5,1011734.19,No,9858662446,Rural,,,,DIR,POL-13013,UIN-761,Plan A,FAMILY_HEALTH_OPTIMA
POL-19880,,N,N,IF,S,I,,2024-08-08,2024-08-10,2025-08-09,,AG1118,SM1006,MEMBER-002764,MEMBER-004760,MEMBER-003101,MEMBER-002483,,526062.91,31768.14,M,29120.79,,,No,4,272259.65,No,9021591434,Urban,,,,SPP,POL-19880,UIN-515,Plan A,IND_HEALTH
POL-12356,,N,N,IF,S,I,,2024-08-08,2024-08-11,2025-08-10,,AG1013,SM1010,MEMBER-004260,,,,,2448441.29,239203.82,M,79734.61,,,No,1,1497807.38,No,9310659038,Rural,,,,ORG,POL-12356,UIN-885,Plan B,GROUP_HEALTH
POL-11216,,N,N,IF,S,I,,2024-08-05,2024-08-07,2025-08-06,,AG1100,SM1028,MEMBER-003952,MEMBER-001181,MEMBER-001059,MEMBER-001855,,702899.76,25342.94,M,2111.91,,,No,4,528540.42,No,9817434177,Rural,,,,ORG,POL-11216,UIN-966,Plan A,CRITICAL_ILLNESS
POL-17756,POL-10394,Y,N,TM,U,I,,2024-08-05,2024-08-05,2025-08-04,2024-09-26,AG1141,SM1024,MEMBER-003629,MEMBER-003586,MEMBER-003262,,,1625531.34,66212.7,Q,49659.52,,,No,3,1108041.24,No,9720390055,Urban,1348005.05,2024-08-05,2024-08-04,IND,POL-10394,UIN-831,Plan A,FAMILY_HEALTH_OPTIMA
POL-16516,POL-14925,Y,N,CP,S,I,,2024-08-06,2024-08-10,2025-08-09,2025-07-14,AG1021,SM1032,MEMBER-003269,,,,,1886128.01,109404.26,Q,109404.26,,,No,1,1022303.95,No,9069788144,Urban,1894710.94,2024-08-10,2024-08-09,IND,POL-14925,UIN-938,Plan B,PERSONAL_ACCIDENT
POL-18424,,N,N,IF,S,I,,2024-08-04,2024-08-07,2025-08-06,,AG1103,SM1049,MEMBER-004408,MEMBER-005603,MEMBER-001191,,,1282347.9,47657.13,Y,47657.13,,,No,3,731128.6,No,9286137883,Urban,,,,ORG,POL-18424,UIN-821,Plan A,IND_HEALTH
POL-18385,,N,N,IF,S,I,,2024-08-11,2024-08-13,2025-08-12,,AG1111,SM1025,MEMBER-003503,,,,,568755.32,22035.42,Y,22035.42,,,No,1,411353.91,No,9566301320,Rural,,,,IND,POL-18385,UIN-729,Plan B,TERM_LIFE
POL-10264,POL-14882,N,Y,IF,U,I,,2024-08-12,2024-08-12,2025-08-11,,AG1089,SM1048,MEMBER-006087,MEMBER-000755,,,,1307878.87,121519.73,Y,121519.73,2024-08-12,,No,2,840213.66,No,9177883827,Urban,1116919.23,,2024-08-11,IND,POL-14882,UIN-839,Plan A,IND_HEALTH
POL-15150,,N,N,IF,S,I,,2024-08-01,2024-08-01,2025-07-31,,AG1052,SM1032,MEMBER-000332,,,,,119600.79,4993.11,M,2080.46,,,No,1,75247.49,No,9552887316,Rural,,,,ORG,POL-15150,UIN-909,Plan B,TERM_LIFE
POL-16332,,N,N,IF,S,I,,2024-08-01,2024-08-01,2025-07-31,,AG1032,SM1048,MEMBER-006459,,,,,506754.66,5628.21,Q,2814.11,,,No,1,380880.48,No,9722523934,Rural,,,,IND,POL-16332,UIN-251,Plan A,IND_HEALTH
POL-12016,,N,N,IF,S,I,,2024-08-04,2024-08-07,2025-08-06,,AG1102,SM1034,MEMBER-001099,MEMBER-000789,MEMBER-001408,MEMBER-002216,MEMBER-003290,959414.49,14871.73,Y,14871.73,,,No,5,592965.18,No,9602394276,Rural,,,,IND,POL-12016,UIN-924,Plan A,GROUP_HEALTH
POL-16827,POL-15769,Y,N,IF,S,I,,2024-08-04,2024-08-07,2025-08-06,,AG1090,SM1016,MEMBER-003640,MEMBER-003060,MEMBER-002812,MEMBER-003478,,1029209.49,48033.71,Y,48033.71,,,No,4,759594.31,No,9399059495,Urban,868013.59,2024-08-07,2024-08-06,IND,POL-15769,UIN-703,Plan C,TERM_LIFE
POL-11810,,N,N,IF,S,G,E,2024-08-03,2024-08-03,2025-08-02,,AG1057,SM1005,MEMBER-005408,MEMBER-006189,MEMBER-006255,MEMBER-003603,,1621102.51,60509.32,H,60509.32,,,No,4,936870.83,No,9786679906,Urban,,,,IND,POL-11810,UIN-339,Plan B,GROUP_HEALTH
POL-13520,,N,N,IF,U,G,E,2024-08-03,2024-08-04,2025-08-03,,AG1140,SM1000,MEMBER-004460,MEMBER-001471,MEMBER-000411,MEMBER-005745,MEMBER-001499,4749984.34,288547.35,M,24045.61,,,No,5,3334104.48,No,9855672177,Rural,,,,ORG,POL-13520,UIN-120,Plan B,TERM_LIFE
POL-14467,,N,N,CP,S,I,,2024-08-04,2024-08-05,2025-08-04,2025-04-14,AG1035,SM1021,MEMBER-006868,MEMBER-004570,MEMBER-004710,MEMBER-006913,,968720.31,69608.36,Y,69608.36,,2024-10-14,Yes,4,497635.0,No,9425327990,Urban,,,,IND,POL-14467,UIN-636,Plan A,TERM_LIFE
POL-16238,,N,N,IF,S,I,,2024-08-10,2024-08-13,2025-08-12,,AG1130,SM1041,MEMBER-002082,MEMBER-000172,MEMBER-004452,MEMBER-001740,,288485.37,12447.63,Y,12447.63,,,No,4,206173.15,No,9429020893,Urban,,,,IOC,POL-16238,UIN-735,Plan C,TERM_LIFE
POL-10539,POL-14593,Y,N,IF,S,I,,2024-08-12,2024-08-12,2025-08-11,,AG1001,SM1037,MEMBER-003175,,,,,2361184.24,89220.41,Q,22305.1,,,No,1,1627116.77,No,9064203698,Urban,2527664.1,2024-08-12,2024-08-11,ORG,POL-14593,UIN-777,Plan B,IND_HEALTH
POL-12343,,N,N,IF,S,G,E,2024-08-04,2024-08-04,2025-08-03,,AG1066,SM1028,MEMBER-005789,MEMBER-001395,MEMBER-002294,MEMBER-002614,,4077549.62,191539.1,H,95769.55,,,No,4,2555071.69,No,9808988453,Urban,,,,IND,POL-12343,UIN-337,Plan C,PERSONAL_ACCIDENT
POL-14415,,N,N,IF,S,I,,2024-08-10,2024-08-13,2025-08-12,,AG1109,SM1045,MEMBER-004165,MEMBER-004773,MEMBER-004802,MEMBER-003512,MEMBER-006088,733616.61,51456.22,Y,51456.22,,,No,5,498212.94,No,9357389797,Rural,,,,IND,POL-14415,UIN-305,Plan C,GROUP_HEALTH
POL-16203,,N,N,IF,U,G,E,2024-08-07,2024-08-11,2025-08-10,,AG1035,SM1049,MEMBER-000240,MEMBER-000495,MEMBER-006814,MEMBER-006218,,4735360.16,309332.04,Y,309332.04,,,No,4,3560966.26,No,9579461910,Rural,,,,IOC,POL-16203,UIN-780,Plan C,TERM_LIFE
POL-12875,,N,N,IF,S,I,,2024-08-04,2024-08-08,2025-08-07,,AG1014,SM1027,MEMBER-002463,MEMBER-001167,MEMBER-006874,MEMBER-002164,,1272249.34,79623.01,Y,79623.01,,,No,4,874775.98,No,9612762484,Urban,,,,IND,POL-12875,UIN-427,Plan A,IND_HEALTH
POL-13510,,N,N,IF,S,I,,2024-08-04,2024-08-05,2025-08-04,,AG1024,SM1031,MEMBER-006574,MEMBER-000031,MEMBER-006418,MEMBER-005387,MEMBER-003542,1512505.34,147420.19,H,147420.19,,,No,5,920165.2,No,9996041270,Urban,,,,IND,POL-13510,UIN-177,Plan B,FAMILY_HEALTH_OPTIMA
POL-10339,,N,N,IF,S,I,,2024-08-11,2024-08-14,2025-08-13,,AG1085,SM1040,MEMBER-006392,MEMBER-002549,MEMBER-001761,MEMBER-000535,MEMBER-002145,2206364.84,134642.02,M,11220.17,,,No,5,1717795.99,No,9099934522,Rural,,,,DIR,POL-10339,UIN-612,Plan C,TERM_LIFE
POL-13006,,N,N,IF,S,I,,2024-08-08,2024-08-11,2025-08-10,,AG1095,SM1029,MEMBER-002258,,,,,497950.38,32383.04,Y,32383.04,,,No,1,327906.27,No,9329773786,Urban,,,,IND,POL-13006,UIN-879,Plan C,IND_HEALTH
POL-13060,,N,N,CP,S,G,E,2024-08-03,2024-08-05,2025-08-04,2025-04-28,AG1120,SM1034,MEMBER-001650,,,,,7544885.12,261845.91,Y,261845.91,,,No,1,3998426.59,No,9284192593,Urban,,,,IND,POL-13060,UIN-591,Plan B,IND_HEALTH
POL-15687,,N,N,IF,S,G,E,2024-08-07,2024-08-11,2025-08-10,,AG1048,SM1039,MEMBER-004576,MEMBER-000449,MEMBER-000272,MEMBER-002535,,5627212.51,391753.41,Y,391753.41,,,No,4,2868137.11,No,9115557906,Rural,,,,IND,POL-15687,UIN-709,Plan B,IND_HEALTH
POL-17371,,N,N,CP,S,I,,2024-08-03,2024-08-06,2025-08-05,2025-03-30,AG1145,SM1044,MEMBER-000313,MEMBER-005374,MEMBER-002146,,,997049.46,63744.8,Y,63744.8,,,No,3,675609.12,No,9718300811,Urban,,,,DIR,POL-17371,UIN-447,Plan A,TERM_LIFE
POL-18151,,N,N,XP,S,I,,2024-08-08,2024-08-10,2025-08-09,,AG1094,SM1015,MEMBER-002436,MEMBER-005145,MEMBER-001927,MEMBER-000678,,367962.87,16193.45,H,8096.73,,,No,4,269506.72,No,9594542616,Urban,,,,IND,POL-18151,UIN-826,Plan C,IND_HEALTH
POL-11828,,N,N,IF,U,I,,2024-08-02,2024-08-07,2025-08-06,,AG1139,SM1046,MEMBER-004623,MEMBER-001428,MEMBER-004781,MEMBER-000452,MEMBER-003334,1429057.53,65574.1,Q,65574.1,,,No,5,1140221.02,No,9574892313,Urban,,,,IND,POL-11828,UIN-396,Plan B,GROUP_HEALTH
POL-14563,,N,N,IF,S,I,,2024-08-07,2024-08-12,2025-08-11,,AG1083,SM1007,MEMBER-006978,,,,,878598.61,53747.34,Y,53747.34,,,No,1,623053.49,No,9024001980,Rural,,,,ORG,POL-14563,UIN-784,Plan B,FAMILY_HEALTH_OPTIMA
POL-13080,,N,N,IF,S,I,,2024-08-03,2024-08-07,2025-08-06,,AG1137,SM1036,MEMBER-001878,MEMBER-005925,MEMBER-005199,MEMBER-000298,,1090800.14,97573.34,M,73180.01,,,No,4,556454.61,No,9352382214,Rural,,,,IND,POL-13080,UIN-857,Plan B,GROUP_HEALTH
POL-13022,POL-16624,Y,N,XP,S,I,,2024-08-11,2024-08-13,2025-08-12,,AG1043,SM1035,MEMBER-006282,MEMBER-002900,MEMBER-005284,MEMBER-002416,MEMBER-003059,933695.91,47982.26,Y,47982.26,,,No,5,659449.96,No,9241154862,Rural,796372.87,2024-08-13,2024-08-12,SPP,POL-16624,UIN-422,Plan B,TERM_LIFE
POL-19548,,N,N,XP,U,I,,2024-08-07,2024-08-11,2025-08-10,,AG1144,SM1016,MEMBER-001810,MEMBER-000643,MEMBER-002023,,,2294397.5,200263.33,Y,200263.33,,,No,3,1776187.09,No,9620645542,Rural,,,,IOC,POL-19548,UIN-161,Plan A,GROUP_HEALTH
POL-10052,,N,N,IF,S,I,,2024-08-07,2024-08-12,2025-08-11,,AG1022,SM1029,MEMBER-006427,,,,,2116944.49,207262.65,Y,207262.65,,,No,1,1132620.44,No,9380039917,Urban,,,,ORG,POL-10052,UIN-447,Plan A,CRITICAL_ILLNESS
POL-15551,,N,N,IF,S,I,,2024-08-11,2024-08-16,2025-08-15,,AG1016,SM1015,MEMBER-004925,MEMBER-004782,MEMBER-001861,,,1545340.93,140549.85,H,70274.93,,,No,3,944738.82,No,9755753974,Urban,,,,IND,POL-15551,UIN-773,Plan A,CRITICAL_ILLNESS
POL-10270,,N,N,IF,S,I,,2024-08-08,2024-08-08,2025-08-07,,AG1042,SM1010,MEMBER-000069,MEMBER-002637,MEMBER-005420,,,1775350.05,59303.36,H,29651.68,,,No,3,1010267.55,No,9167081090,Rural,,,,ORG,POL-10270,UIN-964,Plan B,TERM_LIFE
POL-11624,,N,N,IF,S,I,,2024-08-09,2024-08-09,2025-08-08,,AG1136,SM1009,MEMBER-002735,MEMBER-003252,,,,2320919.9,163873.51,Y,163873.51,,,No,2,1182707.97,No,9757890280,Rural,,,,IND,POL-11624,UIN-574,Plan C,TERM_LIFE
POL-11842,POL-11074,N,Y,IF,S,I,,2024-08-03,2024-08-08,2025-08-07,,AG1014,SM1016,MEMBER-000576,MEMBER-005619,MEMBER-002447,,,1921558.07,111265.68,Y,111265.68,2024-08-08,,No,3,1279525.49,No,9492903809,Urban,2009376.92,,2024-08-07,IND,POL-11074,UIN-737,Plan C,PERSONAL_ACCIDENT
POL-14044,,N,N,IF,S,I,,2024-08-09,2024-08-10,2025-08-09,,AG1072,SM1014,MEMBER-005177,MEMBER-006354,MEMBER-003982,MEMBER-000004,,1881498.41,166383.65,Q,41595.91,,,No,4,1006566.39,No,9477487744,Rural,,,,IND,POL-14044,UIN-603,Plan C,GROUP_HEALTH
POL-11688,,N,N,CP,S,I,,2024-08-07,2024-08-07,2025-08-06,2025-05-07,AG1118,SM1046,MEMBER-005219,,,,,1118164.35,57892.54,M,53068.16,,,No,1,759479.56,No,9025900412,Rural,,,,ORG,POL-11688,UIN-565,Plan C,CRITICAL_ILLNESS
POL-19086,,N,N,CP,S,I,,2024-08-11,2024-08-12,2025-08-11,2025-06-17,AG1020,SM1037,MEMBER-000855,MEMBER-002301,,,,1995154.82,125945.45,H,125945.45,,2025-06-20,Yes,2,1184758.85,No,9884276321,Urban,,,,IND,POL-19086,UIN-166,Plan C,TERM_LIFE
POL-12969,,N,N,IF,S,I,,2024-08-11,2024-08-16,2025-08-15,,AG1143,SM1004,MEMBER-000549,MEMBER-006289,MEMBER-004062,,,2159103.78,192565.3,Q,192565.3,,,No,3,1255942.65,No,9225423392,Rural,,,,IOC,POL-12969,UIN-804,Plan A,PERSONAL_ACCIDENT
POL-12203,,N,N,IF,U,I,,2024-08-02,2024-08-04,2025-08-03,,AG1010,SM1008,MEMBER-001033,MEMBER-005113,MEMBER-003962,,,1487991.83,50760.16,Q,12690.04,,,No,3,969820.67,No,9937726898,Urban,,,,IND,POL-12203,UIN-590,Plan B,GROUP_HEALTH
POL-16549,,N,N,IF,S,I,,2024-08-02,2024-08-03,2025-08-02,,AG1076,SM1012,MEMBER-000209,MEMBER-005436,MEMBER-003061,MEMBER-001979,MEMBER-000289,1338586.27,49431.07,H,49431.07,,2025-02-22,Yes,5,707479.97,No,9135902638,Urban,,,,IOC,POL-16549,UIN-563,Plan C,TERM_LIFE
POL-12288,POL-12648,Y,N,CP,U,I,,2024-08-01,2024-08-03,2025-08-02,2024-11-12,AG1047,SM1010,MEMBER-003520,MEMBER-006212,MEMBER-000913,MEMBER-003458,,1674230.28,155673.73,H,77836.87,,,No,4,1146767.22,No,9942887602,Rural,1565209.41,2024-08-03,2024-08-02,DIR,POL-12648,UIN-597,Plan A,FAMILY_HEALTH_OPTIMA
POL-19132,POL-14057,Y,N,IF,S,I,,2024-08-06,2024-08-07,2025-08-06,,AG1126,SM1016,MEMBER-000439,MEMBER-002992,MEMBER-002228,,,1856785.57,153593.27,Y,153593.27,,,No,3,953622.56,No,9052226246,Urban,1420932.01,2024-08-07,2024-08-06,ORG,POL-14057,UIN-342,Plan A,TERM_LIFE
POL-18104,,N,N,IF,S,I,,2024-08-04,2024-08-05,2025-08-04,,AG1071,SM1043,MEMBER-004014,MEMBER-005585,MEMBER-004623,MEMBER-002593,MEMBER-001023,184599.12,11126.24,Y,11126.24,,,No,5,116253.97,No,9986388489,Rural,,,,ORG,POL-18104,UIN-512,Plan C,FAMILY_HEALTH_OPTIMA
POL-19252,,N,N,IF,U,I,,2024-08-11,2024-08-11,2025-08-10,,AG1130,SM1007,MEMBER-001849,MEMBER-001912,MEMBER-004378,,,2006874.69,143256.42,M,143256.42,,,No,3,1006814.68,No,9346785145,Urban,,,,IND,POL-19252,UIN-138,Plan B,GROUP_HEALTH
POL-15428,,N,N,IF,S,I,,2024-08-01,2024-08-01,2025-07-31,,AG1115,SM1032,MEMBER-000264,MEMBER-002817,MEMBER-001674,MEMBER-000593,,485664.32,36784.9,Q,9196.23,,,No,4,325748.08,No,9161077269,Urban,,,,IOC,POL-15428,UIN-774,Plan B,FAMILY_HEALTH_OPTIMA
POL-12403,,N,N,IF,S,I,,2024-08-05,2024-08-05,2025-08-04,,AG1116,SM1046,MEMBER-002013,MEMBER-000409,,,,545899.42,27678.34,H,13839.17,,,No,2,420091.46,No,9063795717,Urban,,,,IND,POL-12403,UIN-574,Plan A,GROUP_HEALTH
POL-11359,,N,N,XP,S,I,,2024-08-07,2024-08-11,2025-08-10,,AG1123,SM1039,MEMBER-000723,MEMBER-004552,MEMBER-004701,MEMBER-001014,MEMBER-001294,848977.8,11866.98,Y,11866.98,,,No,5,536365.31,No,9133783007,Urban,,,,IND,POL-11359,UIN-440,Plan A,CRITICAL_ILLNESS
POL-14718,,N,N,IF,S,I,,2024-08-03,2024-08-03,2025-08-02,,AG1137,SM1041,MEMBER-000592,MEMBER-005971,MEMBER-000395,MEMBER-000676,,1040948.94,66422.83,Y,66422.83,,,No,4,577545.33,No,9340364916,Urban,,,,IND,POL-14718,UIN-438,Plan A,TERM_LIFE
POL-10324,,N,N,IF,S,I,,2024-08-09,2024-08-11,2025-08-10,,AG1068,SM1003,MEMBER-006226,,,,,1184594.76,79042.66,H,79042.66,,,No,1,743790.05,No,9753090600,Urban,,,,IND,POL-10324,UIN-147,Plan C,TERM_LIFE
POL-15798,,N,N,IF,U,I,,2024-08-01,2024-08-03,2025-08-02,,AG1009,SM1037,MEMBER-002667,,,,,1538551.93,104274.93,Y,104274.93,,,No,1,773986.48,No,9618900488,Urban,,,,IOC,POL-15798,UIN-510,Plan A,GROUP_HEALTH
